time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2014-03-27T19:45:01.880Z,44.1825,-121.8436667,-1.385,2.78,ml,7,286,0.3891,0.46,uw,uw60731026,2022-07-26T10:50:08.441Z,"26 km WSW of Sisters, Oregon",explosion,4.39,31.61,0.152,5,reviewed,uw,uw
2014-02-25T23:03:10.500Z,43.8777,-125.5195,9.98,2.9,ml,,182,1.325,0.45,us,usc000my6l,2016-07-22T19:25:29.220Z,"110 km W of Winchester Bay, Oregon",earthquake,,3.2,0.051,52,reviewed,us,us
2014-01-24T13:53:28.280Z,42.6121667,-123.9563333,4.3,3.83,ml,19,107,0.2302,0.27,uw,uw60675057,2022-08-06T21:20:35.699Z,"31 km SSE of Powers, Oregon",earthquake,0.69,31.61,0.185,83,reviewed,uw,uw
2014-01-15T22:35:56.760Z,42.6513333,-122.4476667,-1.48,2.52,md,10,112,0.2919,0.27,uw,uw60671227,2016-07-22T19:22:21.440Z,"11 km SSE of Prospect, Oregon",explosion,0.8,31.61,0.353,6,reviewed,uw,uw
2013-08-14T17:35:29.520Z,45.2976667,-121.7538333,6.207,2.73,ml,25,54,0.02778,0.14,uw,uw60572321,2016-07-22T19:15:04.180Z,"0 km S of Government Camp, Oregon",earthquake,0.22,0.26,0.186,64,reviewed,uw,uw
2013-06-09T15:34:22.860Z,43.1558333,-122.256,-1.585,2.75,ml,50,33,0.1366,0.38,uw,uw60537906,2016-07-22T19:11:27.330Z,"48 km NNE of Prospect, Oregon",explosion,0.36,31.61,0.148,30,reviewed,uw,uw
2013-05-05T10:14:46.290Z,45.09,-124.915,39.2,2.6,md,7,320,,,us,us2013pvcz,2014-11-07T01:50:44.813Z,"72 km WNW of Lincoln City, Oregon",earthquake,,,,,reviewed,sea,sea
2013-04-30T19:45:42.060Z,43.7778333,-120.9086667,-1.924,2.64,md,7,283,0.02721,0.12,uw,uw60523432,2016-07-22T19:10:05.500Z,"43 km ESE of Deschutes River Woods, Oregon",explosion,9.67,31.61,0.049,4,reviewed,uw,uw
2013-03-25T20:55:29.860Z,42.6021667,-122.4066667,3.183,2.67,ml,19,55,0.3913,0.25,uw,uw60512661,2016-07-22T19:08:17.110Z,"14 km ENE of Butte Falls, Oregon",earthquake,0.45,1.81,0.193,32,reviewed,uw,uw
2013-03-24T19:28:13.640Z,42.6173333,-122.4046667,7.924,2.68,ml,20,67,0.3381,0.21,uw,uw60512461,2016-07-22T19:08:06.090Z,"15 km ENE of Butte Falls, Oregon",earthquake,0.34,19.28,0.167,28,reviewed,uw,uw
